Title,Location,Description,Slug,Company,DateScraped

Senior Front End Developer 2826055,"Misto Kyyiv, Ukraine","Keywords

                        Front End Software Development
                    Stocks (Finance)
                    Backend
                    Programming Languages
                    Application Programming Interfaces (APIs)
                    Software as a Service
                    Data Transmissions
                    Debugging
                    Entrepreneurship
                    Server-Side Development
                    Security Managing
                    TypeScript
                    ReactJS
                    React Redux
                    Safety Principles
                                                
        Description

        
        Do not apply if you have not read the job description:

Job Title: Senior-level Front-end Software Developer
Company: RI Software
Location: Remote
Job Description:

We are actively seeking a talented and experienced Senior-level Front-end Software Developer to join our remote team. As a Senior-level developer, you will be responsible for designing, developing, and maintaining the front-end components of our applications. Collaboration with our backend developers is crucial to ensuring smooth integration and optimal performance. Your role will be instrumental in shaping the future of our company and contributing to the success of our groundbreaking system.



PLEASE NOTE: This is an early stock-option, entrepreneurial opportunity - not a salaried job.

The company:

RI Software is a progressive and modern Ukrainian startup company founded by a team of like-minded individuals with the goal of improving the efficiency of businesses and fostering their development to enhance the overall economy of the countries where our services are available. Consequently, our team has successfully created RI Business. Of course, we have no intention of stopping here; we have ambitious plans that we are determined to bring to fruition.

Compensation:

We are a pre-money start-up with ~20 members internationally remote, passionate members contributing sweat equity for early stock options. The stake shared is the 'fair market stake basis' for startups for the role's equity value and potential future stake post-launch. This means that the stake mentioned is based on what is considered fair within the market for startup companies. It takes into account both the equity (ownership in the company) being offered and the potential stake that could be earned in the future, especially after the startup has been launched. Essentially, it's a way to determine a reasonable compensation package for a particular role within a startup, considering both current and future possibilities.

We are seeking someone who:

* has experience in the startup ecosystem and/or is looking to expand to more disruptive Saas industries;

* has an open mind to a unique venture that makes everybody curious and many to consider joining an early-stage startup to earn ownership options;

* appreciates and considers investing their time entrepreneurially;

* is consistently available at least 5 days a week with a 4-hour schedule (either 6 am - 10 am or 10 am-2 pm).

Responsibilities:

- Design, develop, and maintain robust and scalable front-end applications using relevant programming languages and frameworks.

- Work closely with backend developers to seamlessly integrate user-facing elements with server-side logic.

- Implement and manage APIs to facilitate seamless data communication between various services.

- Collaborate with the team to analyze project requirements, propose technical solutions, and provide accurate development estimates.

- Conduct comprehensive testing and debugging to identify and resolve issues, ensuring the delivery of high-quality products.

- Stay abreast of industry trends and best practices, continuously enhancing your front-end development skills and knowledge.



Qualifications:

- Demonstrated experience as a Senior-level Front-end Software Developer.

- Proficiency in front-end programming languages (e.g., React, TypeScript, Redux) and related frameworks.

- Familiarity with security best practices and a track record of implementing security measures in front-end applications.

- Strong problem-solving skills and the ability to work both independently and collaboratively within a remote team environment.

- Excellent communication skills, with the ability to effectively convey complex technical concepts.

If you are interested, please click on the link below and leave your information there:
https://forms.gle/RyBPyznzaNiFZyWx7",senior-front-end-developer-2826055,RI Software,2025-04-10T07:49:07.743Z
Frontend Developer 2865764,"Lesser Poland Voivodeship, Poland","Keywords

                        ReactJS
                    Front End Software Development
                    JavaScript (Programming Language)
                    Cascading Style Sheets (CSS)
                    Node.Js
                    Java (Programming Language)
                    Amazon Web Services
                    HTML5
                    Microsoft Azure
                    Browser Compatibility
                    Databases
                    Continuous Integration
                    NoSQL
                    Package Management Systems
                    Server-Side Development
                    Cloud Services
                    Responsive Web Design
                    SQL Databases
                    TypeScript
                    Network Routers
                    Apache Yarn
                    Backend
                    Git
                    Syntactically Awesome Style Sheets (SASS)
                    Containerization
                    Webpack
                    Build Tools
                    Graphql
                    React Redux
                    Restful Api
                    Software Version Control
                    Docker
                                                
        Description

        
        The Role: React Node Developer
Location: Krakow, Poland
Position Type: Contract
Implementation Partner: Coforge
Remote work option Available: Remote 

Job Description:

•	5-8 Years of Experience | React ( Full stack) –
•	Java programming language is must have
•	Advanced knowledge of React and its ecosystem (e.g., Redux, React Router). –
•	Proficiency in JavaScript (ES6+), including concepts like closures, async/await, and promises. – 
•	Experience with TypeScript for type-safe JavaScript development. 
•	Strong skills in HTML5, CSS3, and modern CSS frameworks (e.g., Sass, LESS).
•	Familiarity with front-end build tools and package managers (e.g., Webpack, npm/yarn). 
•	Experience with responsive design and cross-browser compatibility.
•	Proficiency in server-side languages and frameworks (e.g., Node.js, Express).
•	Experience with RESTful APIs and GraphQL for data fetching. 
•	Knowledge of database management systems (e.g., SQL, NoSQL). 
•	Ability to integrate front-end and back-end components seamlessly. 
•	Experience with version control systems (e.g., Git) and CI/CD pipelines.
•	Familiarity with cloud services (e.g., AWS, Azure) and containerization (e.g., Docker).",frontend-developer-2865764,Infoplus Technologies UK Ltd,2025-04-10T07:49:08.066Z
Freelance Senior Front End Engineer Wamted Only Near Shore Max Budget 45euro H,"Provinsi Bali, Indonesia","Keywords

                        Enterprise Resource Planning
                    Unit Testing
                    Business Processes
                    User Interface Design
                    Laravel
                    Venta al por Menor
                    Front End Software Development
                    Clean Code Principles
                    Accounting
                    Supply Chain Management
                    Software Requirements Analysis
                    Stock Control
                    Systems Integration
                    Backend
                    Legacy Systems
                                                
        Description

        
        Hello dear Front-End Experts,

I am looking for a qualified Front-End Developer for a ERP Development Project.

Project Details:
Company focuses on customized ERP systems for internal use.
Modules include accounting, production (PPIC), supply chain, customer orders, fulfillment, and warehouse management, tailored for production and retail business.
UI/UX focus on business processes, with the rest of the system supporting factory, production, and retail services.

Design and implement front-end solutions for the ERP system with a focus on UI/UX and business processes.
Collaborate with internal teams to understand system requirements and adapt front-end designs accordingly.
Conduct unit testing, ensuring clean code and adherence to development standards.
Work with legacy frameworks (e.g., Laravel, if applicable).


Requirements:
Expertise in Front-End Development, with a clear specialization.
Experience with unit testing and writing clean, maintainable code.
Familiarity with Laravel Framework or similar technologies is a plus (for integrating with legacy systems).
Proven ability to differentiate front-end and back-end responsibilities in full-stack environments.
Strong analytical skills for understanding complex systems

If you are available and Interested please send me your current CV or Project History and your current hourly wage.

Best regards",freelance-senior-front-end-engineer-wamted-only-near-shore-max-budget-45euro-h,WeMatch Consulting GmbH,2025-04-10T07:49:08.427Z
Frontend Developer Angularlocation Buenos Aires Argentina Hybrid 1 2 Days From Office Mp,"Ciudad Autónoma de Buenos Aires, Argentina","Keywords

                        AngularJS
                    TypeScript
                    Front End Software Development
                    JavaScript (Programming Language)
                    Cascading Style Sheets (CSS)
                    Web Applications
                    Git
                    Region Management
                    HTML
                    Application Performance Management
                    HTML5
                    Unit Testing
                    Browser Compatibility
                    Debugging
                    Scalability
                    Node.Js
                    Responsive Web Design
                    Workflows
                    Testing
                    Backend
                    Protractor
                    Restful Api
                    Software Version Control
                    Jasmine
                                                
        Description

        
        Dear Consultant, 

We are seeking a highly skilled Frontend Developer – Angular with strong expertise in AngularJS and TypeScript to join our multinational clients dynamic team. The ideal candidate will have extensive experience in building and maintaining complex web applications while working in a collaborative, fast-paced environment. message me here or send CV to () if you are interested.

Key Responsibilities:

Develop and maintain web applications using AngularJS, TypeScript, HTML, CSS, and JavaScript.
Collaborate with designers, backend developers, and product managers to deliver high-quality user experiences.
Implement responsive web designs and ensure cross-browser compatibility.
Write clean, modular, and maintainable code following best practices.
Optimize application performance and ensure high scalability.
Conduct unit testing and end-to-end testing using tools like Jasmine or Protractor.
Utilize state management libraries such as NgRx for complex applications.
Integrate with RESTful APIs and handle asynchronous requests efficiently.
Manage source code using Git and GitFlow workflows.
Troubleshoot, debug, and resolve application issues.

Requirements:
8+ years of strong experience in AngularJS and TypeScript.
Proficiency in HTML5, CSS3, Node.js, and JavaScript.
Solid understanding of modern frontend development practices.
Experience with state management solutions like NgRx.
Strong grasp of unit and end-to-end testing methodologies.
Familiarity with version control systems, especially Git and GitFlow.
Strong problem-solving skills and ability to work in a team environment.
Excellent communication skills in a collaborative team setting.",frontend-developer-angularlocation-buenos-aires-argentina-hybrid-1-2-days-from-office-mp,DCV Technologies,2025-04-10T07:49:08.771Z
Frontend Developer Usa Canada Poland,"Warszawa, Poland","Keywords

                        Angular 2+
                    Front End Software Development
                    Region Management
                    JavaScript (Programming Language)
                    User Experience (UX)
                    Unit Testing
                    User Interface Design
                    Material Design
                    Streamline
                    TypeScript
                    User-Centered Design
                    Testing
                    Test-Driven Development (TDD)
                    ReactJS
                    Vue.js
                    AngularJS
                    React Redux
                    Jasmine
                                                
        Description

        
        Hello #Everyone, 
 
We at #CosMicIT are urgently looking for #Frontend Developer 
Locations: US/ Canada/Poland/India. 

Job Type: #Remote 

Position Summary: 
Strong understanding and experience of Angular 2+ (recommended 2 years of experience) or a strong understanding of React/Vue and at least 6 months in Angular 2+ 
? Component-Based Development: Proficiency in developing reusable and modular components to streamline development and maintain consistency across the application. 
? Frontend Data: Expertise in creating user interfaces using Angular 2+, TypeScript, and Material Design 
?Unit Testing: Understanding of testing approaches and Test Driven Development(TDD) using Jasmine and Karma/Jest/Vitest 
? UI/UX Design: Strong understanding of user-centered design principles and experience working with UX/UI designers to create intuitive and responsive interfaces. 
? State Management: Experience with state management libraries such as NgRx or Redux to manage complex application states. 

 
Eligible candidates, please share their resume/CV to 
 
 
Any references would also be accepted. 
 
Thanks & Regards, 
CosMicIT GmbH, Germany ?? 
CosMicIT Informatics India Pvt Ltd. ?? 
CosMicIT Spolka Z Ograniczona Odpowiedzialnoscia, Poland ?? 
www.CosMic-IT.com | www.CosMic-IT.in 
LinkedIn: https://lnkd.in/dYAGYZ6g 
 
For more job openings for Europe/India please click the given link: https://jobs.cosmic-it.in",frontend-developer-usa-canada-poland,CosMicIT GmbH,2025-04-10T07:49:09.095Z
Front End Lead Brussels Hybrid French Or Dutch Speakers 6 Months Rolling Contract,"Brussels, Belgium","Keywords

                        JavaScript (Programming Language)
                    French
                    Innovation
                    HTML
                    Architecture
                    Test Automation
                    Cascading Style Sheets (CSS)
                    Mobile Application Development
                    Code Review
                    Construction Management
                    Web Development
                    Dutch
                    Program Management
                    Quality Management
                    Technical Documentation
                    Technical Standard
                    Technical Supervision
                    TypeScript
                    Web Content Accessibility Guidelines
                    Metrics
                    ReactJS
                    Git
                    Kotlin
                    Playwright
                    Figma
                    Front End Software Development
                    Software Version Control
                                                
        Description

        
        Title: Front End Lead

Location: Brussels – (2x-3x days a week onsite is mandatory for this role)

Duration: 6+ Months

Language requirements: French OR Dutch Speakers

Front end lead :
In the web frontend team, we build and design custom webcomponents that are intended to be used across all of our products and landing pages.
Our goal is to promote efficiency, maintain consistency, and reduce the effort required for design and development tasks.
We are looking for a Design System Technical Lead to join our team and help us lead the creation and implementation of resources, tools, and documentation that support the design system.

 Job Description:
As the Design System Technical Lead, you will work closely with the Design System Product Manager and the Design Lead to shape the overall technical direction of the Design System across all supported platforms.
You will help remove any blockers and find answers to questions from the design lead.
Your work will involve close partnership with technical as well as non-technical audiences, including Web, iOS, and Android Engineers, Design Specialists, and Digital and IT Program Management.

Responsibilities:
Build internal advocacy and drive design system adoption
Optimize the Developer experience
Guide and defend technology choices, standards, and architecture decisions
Conduct regular stakeholder research to identify system gaps and opportunities (tech implementation part)
Drive innovation while establishing and maintaining technical standards
Conduct code reviews on a daily basis
Create and maintain technical documentation and best practices
Balance long-term vision with immediate implementation needs
Monitor and report on design system health and adoption metrics
Ensure quality assurance
Share technical articles, advice, and ideas with the team
Challenge technical members

Qualifications:
Platform-agnostic knowledge (or learn it) for all platforms and design tools knowledge
Strong front-end development skills: HTML, CSS, and JavaScript/TypeScript
Facultative : Knowledge of mobile development languages such as Kotlin and Swift
Familiarity with frameworks and libraries such as React, Storybook, Lit, and Style Dictionary
Proficiency in version control with Git
Experience with design tools such as Figma
Understanding of automated testing, Playwright, and Jest
Knowledge of WCAG guidelines for accessibility",front-end-lead-brussels-hybrid-french-or-dutch-speakers-6-months-rolling-contract,iBSC ltd,2025-04-10T07:49:09.469Z
Create A New Website For Wpoptic Com A Free Chrome Extension Detecting Wordpress Plugins,"Noord-Holland, Netherlands","Keywords

                        HTML
                    JavaScript (Programming Language)
                    Cascading Style Sheets (CSS)
                    Search Engine Optimization
                    WordPress
                    Front End Software Development
                    Web Design
                    SQL Databases
                    Docker
                    E-Commerce
                    PostgreSQL
                    MySQL
                    Requirements Analysis
                    Stakeholder Management
                    Website Wireframe
                    Restful Api
                                                
        Description

        
        WPoptic.com is a free chrome extension that detects WordPress plugins active on a website. Right now the site is quite simple as we are still improving our extension. For the new site we will need a new homepage including packages that we are going to sell. Please check out the website, and also check out the extension because we will keep the style of the extension. It’s important for the job that you have a good understanding of the Chrome extension. Show us your best design and hopefully we can work things out.

Summary

As a Web Developer for wpoptic.com, you will be instrumental in creating an innovative website for a free Chrome extension that detects WordPress plugins. Reporting to the project manager, you will leverage your core skills in JavaScript, HTML, CSS, and front-end development to build a user-friendly interface. Your premium skills in Docker and SQL will enhance the website's functionality and performance. Additionally, your relevant experience in web design and SEO will ensure the site is optimized for user engagement and search visibility, making a significant impact on our audience.

Qualifications

Proficient in JavaScript, HTML, and CSS for front-end development
Experience with WordPress and creating user-friendly websites
Familiarity with Docker and SQL databases (MySQL, PostgreSQL)
Knowledge of web design principles and SEO best practices
Ability to wireframe and design intuitive user interfaces
Understanding of RESTful services and e-commerce platforms
Level of expertise Advanced

Responsibilities

Design and develop a user-friendly website for wpoptic.com, focusing on the detection of WordPress plugins.
Utilize core technologies such as JavaScript, HTML, and CSS to create an engaging front-end experience.
Collaborate with stakeholders to gather requirements and implement features that enhance user interaction.
Ensure the website is optimized for performance and SEO best practices.
Test and troubleshoot website functionality across various browsers and devices.

Job Types: Fixed Contract

Budget: $2,000.00",create-a-new-website-for-wpoptic-com-a-free-chrome-extension-detecting-wordpress-plugins,WPoptic,2025-04-10T07:49:09.801Z
Full Stack Engineer Usa Canada Poland,"Warszawa, Poland","Keywords

                        User Experience (UX)
                    Continuous Integration
                    Scrum Methodology
                    Backend
                    Gitlab
                    Docker
                    Agile Methodology
                    Github
                    Performance Tuning
                    Web Applications
                    Testing
                    Containerization
                    Front End Software Development
                    Software Version Control
                                                
        Description

        
        Hello #Everyone, 

We at #CosMicIT are urgently looking for #Full-Stack Engineer 

Locations: US/ Canada/Poland

Job Type: hashtag#Remote 
 
Position Summary: 
More than 6 years’ experience: Proven expertise in both front-end and back-end development. 
Agile/Scrum: Strong familiarity with Agile methodologies, Continuous integration and Scrum practices. 
Docker: Proficiency with Docker for containerization and managing development, testing, and production environments. 
GitLab: Familiarity with GitLab for version control, CI/CD pipelines, and repository management or analogous system like Github 
Performance Optimization: Proven experience in developing and optimizing high-performance web applications. Expertise in optimizing backend processing and UI validation for speed and efficiency. 
Collaboration: Capacity to work alongside product managers, data experts, and UX/UI designers to continuously refine the validation process and improve the user experience. 
 
Eligible candidates, please share their resume/CV to 
 
 
Any references would also be accepted. 
 
Thanks & Regards, 
CosMicIT GmbH, Germany ?? 
CosMicIT Informatics India Pvt Ltd. ?? 
CosMicIT Spolka Z Ograniczona Odpowiedzialnoscia, Poland ?? 
www.CosMic-IT.com | www.CosMic-IT.in 
LinkedIn: https://lnkd.in/dYAGYZ6g",full-stack-engineer-usa-canada-poland,CosMicIT GmbH,2025-04-10T07:49:10.130Z
Technical Lead East Coast Usa,"New York, USA","Keywords

                        Databases
                    Scrum Methodology
                    Agile Methodology
                    Amazon Web Services
                    Continuous Integration
                    Elasticsearch
                    Python (Programming Language)
                    Project Management
                    Metadata
                    MongoDB
                    Query Optimization
                    Data Ingestion
                    ReactJS
                    Snowflake
                    Indexer
                    Backend
                    Vue.js
                    AngularJS
                    Front End Software Development
                                                
        Description

        
        Greetings Everyone! 

We at #CosMicIT GmbH are urgently looking for #Technical Lead 
Location:  #East Coast USA 
Role Type: #Remote 
Language: #English 

Position Summary: 
More than 8 years of experience: Proven expertise in both front-end and back-end development.  
Agile/Scrum: Strong familiarity with Agile methodologies, Continuous integration and Scrum practices.  
Good knowledge and experience in Angular, Python, AWS 
Strong understanding of React/Vue 
Capability to work with Snowflake databases for storing and retrieving metadata. Experience working with document-based databases such as Opensearch, Elasticsearch, or MongoDB, including data ingestion, indexing, and query optimization. 
Project Management skills  

Eligible candidates, please share their resume/CV at  
Any references would also be accepted. 

NOTE: For the above positions, we only consider candidates with work visa holders or citizens of European countries. 

Regards, 
CosMicIT GmbH, Germany ?? 
CosMicIT Informatics India Pvt Ltd. ?? 
www.CosMic-IT.com | www.CosMic-IT.in 
LinkedIn: https://www.linkedin.com/company/cosmic-it/ 

For more job openings for Europe/India please click the given link: https://jobs.cosmic-it.in",technical-lead-east-coast-usa,CosMicIT GmbH,2025-04-10T07:49:10.459Z
